source_code;target_table;data_type;canonical_metric;available_years
C16_APESASLT_F;composition;NUM;emploi_femmes_au_lt_adm_publiqu_enseign_sante_act_sociale_compl;2016
C16_APESASLT_FNSAL;composition;NUM;emplo_non_sal_femme_au_lt_adm_publi_ensei_sante_act_socia_compl;2016
C16_APESASLT_FSAL;composition;NUM;emplo_salar_femme_au_lt_adm_publi_enseig_sante_act_social_compl;2016
C16_APESASLT_NSAL;composition;NUM;emplo_non_salari_au_lt_adm_publiq_enseig_sante_act_social_compl;2016
C16_APESASLT_SAL;composition;NUM;emploi_salari_au_lt_adm_publiqu_enseign_sante_act_sociale_compl;2016
C16_CONSTLT_F;composition;NUM;emplois_femmes_au_lt_construction_compl;2016
C16_CONSTLT_FNSAL;composition;NUM;emplois_non_sal_femmes_au_lt_construction_compl;2016
C16_CONSTLT_FSAL;composition;NUM;emplois_salaries_femmes_au_lt_construction_compl;2016
C16_CONSTLT_NSAL;composition;NUM;emplois_non_salaries_au_lt_construction_compl;2016
C16_CONSTLT_SAL;composition;NUM;emplois_salaries_au_lt_construction_compl;2016
C16_COUPAENF;composition;NUM;fam_couple_avec_enfant_s_compl;2016
C16_COUPSENF;composition;NUM;fam_couple_sans_enfant_compl;2016
C16_CTSLT_F;composition;NUM;emplois_femmes_au_lt_commerce_transports_services_divers_compl;2016
C16_CTSLT_FNSAL;composition;NUM;emploi_non_sal_femmes_au_lt_commer_transpo_service_divers_compl;2016
C16_CTSLT_FSAL;composition;NUM;emploi_salari_femmes_au_lt_commerc_transpo_service_divers_compl;2016
C16_CTSLT_NSAL;composition;NUM;emplois_non_salarie_au_lt_commerc_transpo_services_divers_compl;2016
C16_CTSLT_SAL;composition;NUM;emplois_salaries_au_lt_commerce_transport_services_divers_compl;2016
C16_EMPLT;composition;NUM;emplois_au_lt_compl;2016
C16_EMPLT_AGRI;composition;NUM;emplois_au_lt_agriculture_compl;2016
C16_EMPLT_APESAS;composition;NUM;emplois_au_lt_adm_publique_enseignement_sante_act_sociale_compl;2016
C16_EMPLT_CONST;composition;NUM;emplois_au_lt_construction_compl;2016
C16_EMPLT_CS1;composition;NUM;agriculteurs_exploitants_au_lt_compl;2016
C16_EMPLT_CS2;composition;NUM;artisans_commercants_chefs_entreprise_au_lt_compl;2016
C16_EMPLT_CS3;composition;NUM;cadres_prof_intel_sup_au_lt_compl;2016
C16_EMPLT_CS4;composition;NUM;prof_intermediaires_au_lt_compl;2016
C16_EMPLT_CS5;composition;NUM;employes_au_lt_compl;2016
C16_EMPLT_CS6;composition;NUM;ouvriers_au_lt_compl;2016
C16_EMPLT_CTS;composition;NUM;emplois_au_lt_commerce_transports_services_divers_compl;2016
C16_EMPLT_F;composition;NUM;emplois_femmes_au_lt_compl;2016
C16_EMPLT_INDUS;composition;NUM;emplois_au_lt_industrie_compl;2016
C16_EMPLT_SAL;composition;NUM;emplois_salaries_au_lt_compl;2016
C16_F15P;composition;NUM;pop_15_ans_ou_plus_femmes_compl;2016
C16_F15P_CS1;composition;NUM;pop_15_ans_ou_plus_femmes_agriculteurs_exploitants_compl;2016
